rowID,host_Arctos_record,ID_number,ID_type,other_identifier,other_identifier_type,pers_cat_no,sci_name,common_name,state,county,specific_locality,analysis_locality,verbatim_latitude,verbatim_longitude,analysis_lat,analysis_lon,verbatim_elev,coll_date,coll_day,coll_month,coll_year,collecting_event_ID,tissue_type,PCR_pos_01,Haem_01,Plas_01,H_haplo1,H_haplo2,H_haplo3,P_haplo1,H_count,P_count,haplotype_count,coinfection_01,novel_01,novel_count,novel_haplo_name,micro_pos_01,micro_num_infected_HP,micro_num_infected_total,micro_num_screened,micro_HP_parasitemia_percent,micro_total_parasitemia_percent,rgbif_elev,analysis_elev,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,tempPC1,tempPC2,precipPC1,precipPC2
218,NA,272132435,band number,024M,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.23137,-106.67524,34.23137,-106.67524,NA,5/17/2017,17,5,2017,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1701,1701,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
219,NA,272132436,band number,001M,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.22356,-106.67905,34.22356,-106.67905,NA,5/17/2017,17,5,2017,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,41,42,10000,0.41,0.42,1711,1711,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
220,NA,272132441,band number,019M,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.22581,-106.68056,34.22581,-106.68056,NA,5/22/2017,22,5,2017,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1697,1697,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
222,NA,272132630,band number,NA,NA,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,NA,NA,34.2313,-106.6752,NA,5/11/2018,11,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,92,142,10000,0.92,1.42,1701,1701,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
223,NA,272132638,band number,NA,NA,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.22581,-106.68056,34.22581,-106.68056,NA,5/17/2018,17,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,84,87,10000,0.84,0.87,1697,1697,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
224,NA,272132639,band number,NA,NA,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,NA,NA,34.2313,-106.6752,NA,5/17/2018,17,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,80,98,10000,0.8,0.98,1701,1701,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
225,NA,272132642,band number,NA,NA,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,NA,NA,34.2313,-106.6752,NA,5/22/2018,22,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,449,453,10000,4.49,4.53,1701,1701,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
226,NA,272132643,band number,NA,NA,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,NA,NA,34.2313,-106.6752,NA,5/22/2018,22,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,80,156,10000,0.8,1.56,1701,1701,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
227,NA,272132644,band number,NA,NA,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,NA,NA,34.2313,-106.6752,NA,5/22/2018,22,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,113,186,10000,1.13,1.86,1701,1701,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
228,NA,272132647,band number,NA,NA,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,NA,NA,34.2313,-106.6752,NA,5/28/2018,28,5,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,40,60,10000,0.4,0.6,1701,1701,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
